Rank,Club,Country,YOB,Gender
719,,FRA ,1988,M
720,Clube Escola do Estrei...  ,POR ,1983,M
721,,IRL ,1989,M
722,,USA ,1990,F
723,Trail IS OUR WAY  ,POL ,1992,M
724,,GBR ,1999,M
725,,ESP ,1977,M
726,Dijon Singletrack  ,FRA ,1981,M
727,,FRA ,1983,M
728,,SWE ,1976,M
729,,FRA ,1990,M
730,Trailers du Môle  ,FRA ,1992,M
731,,USA ,1995,M
732,Yellowlegs  ,ESP ,1979,M
733,VOM Laufen Podcast  ,GER ,1984,M
734,MMA / Ken-Chan-REN  ,JPN ,1979,M
735,St. Albans Striders  ,DEN ,1978,M
736,Coureur des Bistrots  ,FRA ,1983,M
737,Smac  ,BEL ,1971,M
738,Team Run  ,ROU ,1976,M
739,,ESP ,1978,M
740,Run for Fun - Haversle...  ,DEN ,1981,M
741,Copenhagen Adventure S...  ,DEN ,1979,M
742,Trailrunning Vienna  ,AUT ,1980,M
743,,USA ,1996,M
744,,RSA ,1979,M
745,Team Lantemil  ,POR ,1981,M
746,,GBR ,1989,F
747,Amuntrail  ,ESP ,1985,M
748,,PER ,1972,F
749,Aucun  ,FRA ,1982,M
750,C.A Malagón  ,ESP ,1983,M
751,,FRA ,1978,M
752,les Fwewes  ,FRA ,1985,M
753,,FRA ,1972,M
754,Parentis-EN-Born  ,FRA ,1992,M
755,Avientu  ,ESP ,1974,F
756,GM Ensidesa Gijón  ,ESP ,1984,F
757,,USA ,1981,M
758,ATL. DI Lumezzane  ,ITA ,1980,M
759,Trakks  ,BEL ,1977,M
760,Skagen OK  ,DEN ,1980,M
761,Recreo Trail Running Team  ,ESP ,1971,M
761,,ESP ,1967,M
761,AVC  ,ESP ,1974,M
764,,AUS ,1980,M
765,,FRA ,1980,M
766,C.M. Trail Running Zar...  ,ESP ,1979,M
767,KR/Mkrc  ,AUS ,1980,M
768,Kailas  ,CHN ,1986,F
769,IFK Lidingö  ,SWE ,1971,M
770,,HKG ,1981,M
771,Pure Trails ADV  ,GBR ,1985,M
772,Kyoto Milers  ,JPN ,1974,M
773,Anaitasuna  ,ESP ,1976,M
774,,JPN ,1986,M
774,NCS Trailéman  ,FRA ,1995,M
776,all Trail Team Reus  ,ESP ,1973,M
776,all Trail Team  ,ESP ,1973,M
778,,FRA ,1980,M
779,Atletismo Baiona  ,ESP ,1985,M
780,,GBR ,1991,M
781,Courir À Poisy  ,FRA ,1983,M
782,Team Fika Running Club  ,SWE ,1980,M
783,,ESP ,1979,M
784,Team BDT  ,FRA ,1993,M
785,,SUI ,1973,M
786,Slipped Disc Gkolfers  ,USA ,1984,M
787,Foulées PAU Béarn  ,FRA ,1992,F
788,,JPN ,1976,M
789,Dark Trail Runners  ,SWE ,1974,M
790,,ESP ,1978,M
791,,USA ,1969,M
792,Team Mojito  ,GER ,1981,M
793,Team Mojito  ,GER ,1983,M
794,Perras Callejeras Trail  ,ESP ,1978,M
795,,FRA ,1974,M
796,AS Ascain Elgarrekin  ,FRA ,1987,M
797,LG Heimerzheim  ,GER ,1972,M
798,,FRA ,1969,M
799,Running4Nature  ,GER ,1988,M
800,,GER ,1970,M
801,,USA ,1966,M
802,,USA ,1970,M
803,Vuorten Jellonat  ,FIN ,1970,M
804,ASD Sardegna Trail  ,ITA ,1977,M
805,Courir EN Uzege  ,FRA ,1976,M
806,,USA ,1983,M
807,,ITA ,1976,M
808,Avignon LE Pontet Tria...  ,FRA ,1980,M
809,Trencafites C. E.  ,ESP ,1979,F
810,Trencafites C.E  ,ESP ,1976,M
811,Segura Sport  ,ESP ,1962,M
812,Gotl  ,JPN ,1973,M
813,Waverley Harriers  ,GBR ,1970,M
814,the Peak Hunter  ,HKG ,1986,M
815,,FRA ,1994,M
816,LE BOL D'Air Gignacois  ,FRA ,1982,M
817,Runforyourlife  ,ROU ,1973,M
818,,ARG ,1977,M
819,Petits Coraux  ,FRA ,1981,M
820,,FRA ,1982,M
821,Atletica Novese  ,ITA ,1986,M
822,Shioya Mountain Club  ,JPN ,1975,M
823,100X100 Trail Murcia  ,ESP ,1975,M
824,Runsurrection  ,GER ,1970,M
825,,USA ,1985,M
826,Triatlon Coruña-Gmta&C...  ,ESP ,1970,M
827,GP Avis Malavicina  ,ITA ,1987,M
828,,SUI ,1968,M
829,OBM Run4Autism - C E P...  ,ESP ,1975,M
830,Kailas  ,CHN ,1981,F
831,TRO  ,FRA ,1984,M
832,,GBR ,1967,M
833,Maverick Run Project  ,BEL ,1982,M
834,Societat Atlètica Corbera  ,ESP ,1986,M
835,,JPN ,1978,M
836,,FRA ,1991,M
837,Topsport  ,AUT ,1973,M
838,,ITA ,1975,M
839,,FRA ,1964,M
840,Ri2E  ,FRA ,1988,M
841,,USA ,1979,M
842,,FRA ,1992,M
843,,USA ,1979,F
844,AIX Athle Provence  ,FRA ,1968,M
845,LOS ÑUS  ,ARG ,1979,M
846,Aran Trailrunners  ,ROU ,1984,M
847,LE Cours des Halles  ,FRA ,1987,M
848,^^  ,HKG ,1974,M
849,Cdltta- Airbus  ,BEL ,1967,M
850,,NZL ,1970,M
851,,GER ,1980,M
852,,ESP ,1979,M
853,Lafittois Trail  ,FRA ,1981,M
854,,CAN ,1985,M
855,,SUI ,1982,F
856,Flow IN the Mountains  ,BRA ,1986,M
857,UTT  ,ROU ,1980,M
858,Dobra Kapljica  ,CRO ,1975,M
859,,MEX ,1989,M
860,PAS de Club  ,KGZ ,1977,M
861,Clube Desportivo E Cul...  ,POR ,1982,M
862,,AUS ,1972,M
863,,JPN ,1973,M
864,Sarbil Etxauribar Taldea  ,ESP ,1980,M
865,Outopia  ,CHN ,1977,F
866,Spiridon 08 Luxembourg  ,LUX ,1993,M
867,,FRA ,1990,M
868,C.D.Nortrail  ,ESP ,1980,M
869,Outdoor Training- OT  ,ARG ,1982,M
870,Mirandela A Correr Par...  ,POR ,1969,M
871,Footing Dent de Vaulion  ,SUI ,1981,F
872,Asptt Annecy  ,FRA ,1972,M
873,Team Run Normand Bois ...  ,FRA ,1981,M
874,les Traileurs de Lavans  ,FRA ,1962,M
875,Hiru Herri  ,ESP ,1983,M
876,RC Haut Jura Morez  ,FRA ,1987,M
877,SCO Trail Sainte Margu...  ,FRA ,1981,M
878,United Trail Running  ,ITA ,1973,M
879,EFI OCR  ,SWE ,1969,M
880,Cecalldetenes  ,ESP ,1983,M
881,,ESP ,1973,M
882,Carcassonne Trail Club...  ,FRA ,1981,M
883,Sapeur Pompier de Sain...  ,FRA ,1981,M
884,Clubinsport / MP Trail  ,FRA ,1980,M
885,Gien Athlé Marathon  ,FRA ,1975,M
886,Natural Runners  ,ESP ,1978,M
887,,FRA ,1979,M
888,AIA S20  ,THA ,1976,M
889,Atletica Vita  ,BEL ,1984,F
890,Keswick Athletic Club  ,GBR ,1981,M
891,CE Cami Dels Ibers Tra...  ,ESP ,1985,M
892,,JPN ,1972,M
893,NO Worries  ,SUI ,1972,M
894,Clwb Athletau Aberystwyth  ,HUN ,1969,M
895,,POL ,1991,M
896,,SUI ,1973,M
897,Gobe-Bitume Stade Genève  ,FRA ,1971,M
898,Grenoble Trail  ,FRA ,1989,M
899,,AUS ,1979,M
900,,AUS ,1979,M
901,Ghost Trail Trekkers  ,MAS ,1989,M
902,,FRA ,1994,M
903,Triathlète Attitude Vi...  ,FRA ,1971,M
904,,CAN ,1980,M
905,ASD 29 Martiri  ,ITA ,1967,M
906,Surikati / Trailinity  ,LAT ,1984,F
907,,AUS ,1987,M
908,,SWE ,1978,F
909,Gfca  ,FRA ,1969,M
910,,ARG ,1986,M
911,,AUS ,1993,M
912,Altra RED Team HK  ,HKG ,1985,M
913,Hoka Indonesia  ,INA ,1980,M
914,,FRA ,1989,M
914,SV Raiba Stubai  ,AUT ,1971,M
914,PK ŽElezničar Inđija  ,SRB ,1973,M
917,,USA ,1991,F
918,,FRA ,1974,M
919,AK Senica  ,SVK ,1978,M
920,,GBR ,1990,M
921,AK Medulin  ,CRO ,1973,M
922,Btat  ,JPN ,1964,M
923,,AUS ,1984,M
924,Sandsjöbacka Trail  ,SWE ,1974,M
925,Bristol and West AC  ,GBR ,1982,M
926,Cmbm  ,FRA ,1982,M
927,Trail&Pandelygtesjov/P...  ,CZE ,1982,F
928,,FRA ,1982,M
929,Hyde Park Harriers  ,GBR ,1994,F
930,AS Orange Cesson  ,FRA ,1973,M
931,Schweriner Seentrail  ,GER ,1975,M
932,Rennsteiglaufverein  ,GER ,1969,M
933,100 Marathon Club  ,GBR ,1973,M
933,CAC Champigneulles  ,FRA ,1973,M
935,USt Courir A Saint Tropez  ,FRA ,1970,M
936,,RSA ,1971,F
937,VKM Košice  ,SVK ,1991,M
938,ASD Trail Running Brescia  ,ITA ,1970,M
939,,USA ,1991,F
940,,SVK ,1983,M
941,,NED ,1996,M
942,,FRA ,1970,M
943,Duerocche ASD  ,ITA ,1988,M
944,ASF Uson  ,FRA ,1974,M
945,Trail Running Sport Ac...  ,ITA ,1979,M
945,Club Tchimbe Raid - Ma...  ,FRA ,1990,M
947,Bouliac Sports Plaisirs  ,FRA ,1985,M
948,,SLO ,1965,M
949,,FRA ,2000,M
950,Team Running Conseil 77  ,FRA ,1974,M
951,Asop SKI Club  ,FRA ,1993,M
952,Run Card  ,ITA ,1985,F
953,Club Esportiu Garraf R...  ,ESP ,1971,M
954,ATT-Raceteam  ,AUT ,1985,M
955,,BEL ,1987,F
956,JTZ Trail  ,MEX ,1985,M
957,Absolu Sport Avoriaz  ,FRA ,1967,M
958,Ardent Sports  ,FRA ,1965,M
959,Aberystwyth AC  ,GBR ,1960,M
960,Mountainaby  ,USA ,1982,M
961,,FRA ,1970,M
962,Team Fit&Sund  ,DEN ,1977,M
963,Vertical Chaos Morvan  ,FRA ,1982,M
964,,GBR ,1985,M
965,Team Sang Pour Sang Sport  ,FRA ,1982,M
966,Espartanos Talavera  ,ESP ,1973,M
967,Tamalous  ,FRA ,1974,M
968,,HUN ,1971,M
969,,FRA ,1991,M
970,Run & Fun Belluno  ,ITA ,1968,M
971,,USA ,1992,M
972,,CAN ,1980,M
973,Run4Icecream  ,NOR ,1995,F
974,Dénat Sport Nature  ,FRA ,1985,M
974,Run4Icecream  ,NOR ,1996,M
976,Fartleck  ,FRA ,1991,F
977,,JPN ,1981,M
978,,ITA ,1963,M
979,,NZL ,1977,F
980,MK Tvrdošín  ,SVK ,1967,M
981,ASD Traillab  ,ITA ,1980,M
982,les Courailleux  ,CAN ,1977,F
983,,FRA ,1969,M
984,Polisportiva Sant Orso...  ,ITA ,1983,M
985,,FRA ,1986,M
986,,FRA ,1989,M
987,Hoka Malaysia / Suunto...  ,MAS ,1990,M
988,Sensas'Yon Raid  ,FRA ,1979,M
989,GLI Orchi Trailers  ,ITA ,1995,F
990,Baudenasca  ,ITA ,1977,F
991,Baudenasca  ,ITA ,1967,M
992,CAF Marseille Provence  ,FRA ,1979,M
993,,ESP ,1979,M
994,,FRA ,1979,M
995,,FRA ,1966,M
996,,BEL ,1979,M
997,Tropic Thunder  ,AUS ,1972,M
998,Tomo'S PIT / Lda-Rc / ...  ,JPN ,1976,M
999,,ECU ,1984,M
1000,Mtnt  ,FRA ,1978,M
1001,,HKG ,1976,M
1002,,GBR ,1989,F
1003,,GBR ,1991,M
1004,Gendarmerie  ,FRA ,1978,M
1005,Bisons Moussus  ,FRA ,1993,M
1006,,JPN ,1989,M
1007,SV Tragöß  ,AUT ,1983,M
1008,Mont' Run  ,FRA ,1984,M
1009,,CAN ,1976,M
1010,,CAN ,1976,M
1011,DUC Army  ,FRA ,1973,M
1012,,FRA ,1981,M
1013,Colmar Trail Aventures  ,FRA ,1971,M
1014,Rbrg TRC  ,JPN ,1972,M
1015,,SUI ,1966,M
1016,,JPN ,1971,M
1017,Xempo Trail Team  ,GBR ,1973,M
1018,GAC  ,FRA ,1973,M
1019,OCA GIF  ,FRA ,1967,M
1020,,JPN ,1969,M
1021,,POL ,1983,M
1022,Gray Wolf ASD  ,ITA ,1979,M
1023,,GBR ,1971,M
1024,Team Patatus  ,FRA ,1988,M
1025,Nosportlimit  ,JPN ,1974,M
1026,,FRA ,1979,M
1027,Team High Coast Distil...  ,SWE ,1977,M
1028,,SUI ,1973,M
1029,Team MUD & Snow  ,ITA ,1964,M
1030,Mures Runners  ,ROU ,1969,M
1031,,USA ,1973,M
1032,,USA ,1964,M
1033,,AUS ,1993,M
1034,,NZL ,1993,M
1035,,KOR ,1979,M
1036,,FRA ,1976,M
1037,,FRA ,1991,F
1038,,SUI ,1961,M
1039,,FIN ,1989,M
1040,,JPN ,1977,M
1041,,GER ,1982,M
1042,FEG Athlé  ,FRA ,1995,M
1043,CAF Lyon  ,USA ,1987,M
1044,,FRA ,1993,M
1045,Asgc  ,FRA ,1979,M
1046,Courbevoie Triathlon  ,FRA ,1971,M
1047,Triathlète Attitude Vi...  ,FRA ,1975,F
1047,Courbevoie Triathlon  ,FRA ,1969,M
1049,Trivelo  ,AUS ,1971,F
1050,Dronfield Running Club  ,GBR ,1980,M
1051,,JPN ,1979,M
1052,,JPN ,1972,M
1053,Beauvoisin  ,FRA ,1978,M
1054,,GER ,1983,M
1055,Hucisko Feral Cats  ,POL ,1991,M
1056,Trail Maniacs  ,SUI ,1977,M
1057,Tarbes Pyrénées Athlét...  ,FRA ,1977,M
1058,,GBR ,1994,M
1059,Newtrailrubí  ,ESP ,1984,M
1060,,FRA ,1979,M
1061,,FRA ,1973,M
1062,Verneuil Oxygène  ,FRA ,1975,M
1063,Kent A/C  ,GBR ,1963,M
1064,,FRA ,1979,M
1065,Fukushima TRC  ,JPN ,1979,M
1066,Sportif des Pompiers P...  ,SUI ,1985,M
1067,Hoka Philippines  ,PHI ,1993,M
1068,CA Parthenay  ,FRA ,1975,M
1069,,NED ,1983,M
1070,Cambridge  ,NZL ,1971,M
1071,,FRA ,1983,M
1072,Team Watson  ,GBR ,1975,M
1073,,GBR ,1981,M
1074,Team Choki  ,JPN ,1987,M
1075,DA Kraxlhuaba  ,GER ,1984,M
1076,Altra Team RED  ,SWE ,1975,M
1077,Toyohashi Mountain Club  ,JPN ,1981,M
1078,,JPN ,1976,M
1079,Running Club Furiani  ,FRA ,1970,M
1080,,FRA ,1972,M
1081,,HKG ,1984,M
1082,Leigh on SEA Striders  ,BOT ,1975,M
1083,,GBR ,1985,M
1084,,AUS ,1976,M
1085,,MAS ,1975,M
1085,,SGP ,1977,M
1087,Trailers Normands  ,FRA ,1971,M
1088,Cmbm  ,FRA ,1997,F
1089,Cmbm  ,FRA ,1970,F
1089,,USA ,1968,M
1091,Trail Athlitude Cuers  ,FRA ,1972,M
1092,,SGP ,1978,M
1093,Cmbm  ,FRA ,1977,F
1094,Run IN Niort  ,FRA ,1973,M
1095,,CHN ,1973,F
1096,Scuola DI Maratona Vit...  ,ITA ,1964,M
1097,Cmbm  ,BEL ,1973,M
1098,Team Brumbasse  ,DEN ,1974,M
1099,,FRA ,1974,M
1100,,AUS ,1999,M
1101,Team Salomon Malaysia  ,MAS ,1980,M
1102,,FRA ,1987,M
1103,LA Vaillante St Brieuc  ,FRA ,1981,M
1104,,BEL ,1997,F
1105,Gone Running  ,GBR ,1983,M
1106,Ultra Taaaaac Team  ,ITA ,1979,M
1107,Weltraumjogger Running...  ,GER ,1972,M
1108,Tgcbinn  ,GRE ,1973,M
1109,Bain de Bretagne Athlé...  ,FRA ,1979,M
1110,,FRA ,1966,M
1111,Musyozoku  ,JPN ,1974,M
1112,,CAN ,1976,M
1113,ASD Runlab Udine  ,ITA ,1997,F
1114,,USA ,1969,F
1115,,BEL ,1981,M
1116,,CAN ,1976,M
1117,,AUT ,1967,M
1118,,FRA ,1976,M
1119,,GBR ,1984,M
1120,Stellies Shake OUT  ,RSA ,1982,M
1121,,FRA ,1971,M
1122,Engine Bird  ,CHN ,1977,M
1123,Plougastel Sports Nature  ,FRA ,1981,M
1124,Union Sportive Talence...  ,FRA ,1966,M
1125,,SWE ,1979,M
1126,,FRA ,1962,M
1127,,SUI ,1974,M
1128,,USA ,1970,M
1129,Team Kailas Malaysia  ,MAS ,1981,F
1130,,USA ,1976,M
1131,ARC  ,HUN ,1990,M
1132,#Thecrazyones  ,GER ,1975,M
1133,Keep Left  ,KOR ,1971,M
1134,Spheniscus  ,FRA ,1977,M
1135,Fort Trail Besancon  ,FRA ,1964,M
1136,Pibrac Running  ,FRA ,1971,M
1137,Prorunners Barcelona  ,ESP ,1995,M
1138,Mountain Runners DEL B...  ,ESP ,1985,M
1139,,FRA ,1963,F
1140,SK Activ 2013  ,BUL ,1972,M
1141,,USA ,1970,F
1142,,AUS ,1965,M
1143,Altitude Race  ,ITA ,1970,M
1144,,USA ,1980,F
1145,AK Zaprešić  ,CRO ,1977,M
1146,,FRA ,1990,M
1147,,JPN ,1971,F
1148,,USA ,1982,F
1149,Montañeiros Celtas  ,ESP ,1979,M
1150,,POL ,1980,M
1151,BIK Stockholm  ,SWE ,1967,M
1152,,AUS ,1965,M
1153,Manx Fell Runners  ,GBR ,1985,M
1154,Trallatrail  ,ESP ,1966,M
1155,,FRA ,1970,M
1156,Bologna Trail Team  ,ITA ,1972,F
1157,Cahors Trail  ,FRA ,1984,M
1158,,FRA ,1979,M
1159,Söderåsens FK  ,SWE ,1968,M
1159,Djursholm Tränings Center  ,SWE ,1977,M
1161,,FRA ,1979,M
1162,,POR ,1980,M
1163,CAP Dinsheim  ,FRA ,1981,M
1163,JKL Sport  ,FRA ,1979,M
1165,,BEL ,2000,M
1166,SG Héricourt  ,FRA ,1976,M
1167,,BUL ,1988,M
1168,Dulwich Runners  ,ITA ,1968,M
1169,TRC Indonesia  ,INA ,1988,F
1170,1000 Pattes Vicquois  ,FRA ,1982,M
1171,CAF Agen  ,FRA ,1968,M
1172,les Gueulovents  ,FRA ,1976,M
1173,Arcus  ,ITA ,1979,M
1174,,USA ,1970,M
1175,,PHI ,,M
1176,Association des Sports...  ,FRA ,1979,M
1177,,FRA ,1989,M
1178,,CAN ,1971,M
1179,Gentse Terteurs  ,BEL ,1994,M
1180,Ultra Trail la Plata  ,ARG ,1977,M
1181,,FRA ,1972,F
1182,Fartleck  ,FRA ,1966,M
1183,,FRA ,1983,M
1184,,FRA ,1973,M
1185,,DEN ,1977,M
1186,XVE Athletic Club  ,FRA ,1963,M
1187,,FIN ,1981,F
1188,,SWE ,1977,F
1189,Lacko Trail  ,HUN ,1980,M
1190,,FRA ,1972,M
1191,Fartlek  ,FRA ,1980,M
1192,,FRA ,1979,M
1193,Team Globetrailers  ,FRA ,1953,M
1194,Happy Runners  ,FRA ,1971,M
1195,Trailxbeer  ,FRA ,1974,M
1196,,FRA ,1986,M
1197,,GER ,1979,M
1198,Atletica Aviano  ,ITA ,1982,M
1198,,FRA ,1975,M
1200,AV-LGD  ,NED ,1972,M
1201,Alter  ,FRA ,1992,M
1202,Asia Trail  ,HKG ,1973,M
1203,,FRA ,1976,M
1204,Siao Langs  ,SGP ,1982,M
1205,Roda Trail  ,ESP ,1982,M
1206,,FRA ,1978,M
1207,B&T Design  ,TUR ,1978,M
1207,THÉ KHA  ,BEL ,1985,M
1209,Wolfepack  ,USA ,1979,M
1210,,AUS ,1973,M
1211,,ESP ,1991,M
1212,,POL ,1970,M
1213,,BEL ,1981,M
1214,Altraredteamthailand  ,THA ,1981,F
1215,,FRA ,1974,F
1215,Sunndal IL Friidrett  ,NOR ,1957,M
1217,,FRA ,1972,M
1218,,FRA ,1975,M
1218,Stade Français Triathlon  ,FRA ,1974,M
1220,Team Vegan  ,CRO ,1975,M
1221,Coutach Évasion  ,FRA ,1971,M
1222,,FRA ,1987,M
1223,,GBR ,1988,M
1224,,GER ,1972,M
1225,,NZL ,1974,F
1226,Pôle Santé Louis Blanc  ,FRA ,1983,M
1227,,FRA ,1980,M
1228,,NZL ,1973,M
1229,Mana ADA Club/Zizo TUA  ,MAS ,1972,M
1230,Galopins Brassagais  ,FRA ,1994,M
1231,North Bondi Soft Sand ...  ,GBR ,1981,M
1232,Summano Cobras  ,ITA ,1981,M
1233,,JPN ,1971,M
1233,,JPN ,1965,M
1235,les Princes EN Foulées  ,FRA ,1970,M
1236,Misty Mountain Runners  ,USA ,1969,F
1236,,USA ,1971,F
1238,Mallare Outdoor Sport ...  ,ITA ,1973,M
1239,,CAN ,1969,F
1239,Wind  ,CAN ,1972,M
1241,,MAS ,1973,M
1242,,FRA ,1973,M
1243,Salon Triathlon  ,FRA ,1971,M
1243,Team GG  ,FRA ,1971,M
1245,ASD Scarpe Bianche  ,ITA ,1980,M
1246,,BEL ,1989,M
1247,,GBR ,1988,M
1248,,GBR ,1979,F
1249,,FRA ,1977,M
1250,,ESP ,1984,M
1251,SUD Loire Raid Aventure  ,FRA ,1977,M
1252,SUD Loire Raid Aventure  ,FRA ,1968,M
1253,ASD Osteria DEI Podisti  ,ITA ,1970,M
1254,,CHN ,1977,M
1255,Team Sapajou  ,FRA ,1981,M
1256,,GBR ,1990,F
1257,,FRA ,1987,M
1258,Viet NAM  ,VIE ,1976,M
1259,Team Zéro Volonté  ,FRA ,1981,M
1260,,JPN ,1984,F
1261,,FRA ,1979,M
1262,,HKG ,1983,M
1263,ASD Scarpe Bianche  ,ITA ,1970,M
1264,ASD Scarpebianche  ,ITA ,1979,M
1265,,ITA ,1977,M
1266,,USA ,1987,M
1267,Trail Runners Club  ,USA ,1964,F
1268,Croco  ,FRA ,1983,M
1269,,JPN ,1985,M
1270,,AUS ,1970,M
1271,,JPN ,1966,M
1272,,USA ,1985,F
1273,,GBR ,1989,M
1274,30740 Club Deportivo  ,ESP ,1973,M
1275,Road  ,MEX ,1982,F
1276,Raidlight Peru  ,PER ,1987,F
1277,,FRA ,1969,M
1278,,ROU ,1986,M
1279,ASD OLL Scars  ,ITA ,1975,M
1280,Brooks Running Thailand  ,THA ,1976,M
1281,C.E. Camí Dels Ibers T...  ,ESP ,1969,M
1282,Springfield Striders  ,GBR ,1983,M
1283,Physio Point Marl  ,GER ,1989,F
1284,Marathon-Club Menden  ,GER ,1980,M
1285,,FRA ,1968,M
1286,Paganella Mountain Team  ,ITA ,1982,M
1287,Warrington Mountain Goats  ,GBR ,1970,M
1288,SA Riba  ,ESP ,1971,M
1289,Faithwalkers  ,HKG ,1970,M
1290,Raramuri  ,VIE ,1977,M
1291,Kinomana  ,ITA ,1977,M
1292,Amorotto  ,ITA ,1979,M
1292,Atletica Reggio  ,ITA ,1977,M
1294,,CAN ,1971,M
1295,Trail & Pandelygtesjov  ,DEN ,1975,M
1296,Trail & Pandelygtesjov  ,DEN ,1971,M
1297,,FRA ,1974,M
1298,NA  ,HKG ,1979,M
1299,Equipo Militar de Esqu...  ,ESP ,1992,M
1300,Running Academy  ,TUR ,1969,M
1301,Clube de Atletismo de ...  ,POR ,1967,F
1302,Trail Animals Running ...  ,USA ,1973,M
1303,Pontepicos Trail  ,ESP ,1975,M
1304,Jakus Team  ,HUN ,1969,M
1305,,SWE ,1973,M
1306,Tower 26  ,USA ,1975,M
1307,Goat Adventures  ,USA ,1992,F
1308,Excelsior  ,USA ,1986,M
1309,,JPN ,1964,M
1310,ATR-Algarve Trail Running  ,POR ,1967,M
1310,ATR - Algarve Trail Ru...  ,POR ,1976,M
1312,,USA ,1989,F
1313,,FRA ,1987,M
1314,,JPN ,1979,M
1314,,ARG ,1966,M
1316,Salvaterra Trail Team/...  ,POR ,1977,M
1317,,FRA ,1977,M
1318,Nippon Runners  ,JPN ,1974,M
1319,G.M. Peña MEA  ,ESP ,1980,M
1320,Olesa de Montserrat  ,ESP ,1975,M
1321,,POR ,1975,M
1322,Misty Mountain Runners  ,USA ,1965,F
1322,F.R.A.C  ,BEL ,1987,M
1322,,FRA ,1980,M
1325,Tribus  ,BRA ,1982,M
1326,Bear Foot Poľana  ,SVK ,1987,M
1327,Jesolo Triathlon  ,ITA ,1961,M
1328,,GER ,1973,M
1329,,GER ,1973,M
1330,,FRA ,1982,M
1331,,FRA ,1986,M
1332,Fitpoint Peru / Thera ...  ,BRA ,1993,M
1333,S.A. Valchiese  ,ITA ,1995,M
1334,Agromar / A.S.Adventure  ,BEL ,1986,M
1335,Dmrc  ,BEL ,1979,M
1336,,AUS ,1980,M
1337,,BUL ,1984,M
1338,Boitheux  ,BEL ,1969,M
1338,Ca2S Courir À Seyssins...  ,FRA ,1968,M
1340,,FRA ,1969,M
1341,,USA ,1980,M
1342,Solidaires EN Peloton  ,FRA ,1981,M
1342,,FRA ,1971,M
1344,Patriote Bonnetable  ,FRA ,1975,M
1345,,GBR ,1970,M
1346,Peaks  ,JPN ,1963,M
1347,,FRA ,1967,M
1348,,FRA ,1969,M
1349,Yamada Ko-KEN  ,JPN ,1979,M
1350,Alpenrunners  ,GER ,1974,M
1351,Maru  ,THA ,1967,M
1352,Valle de Turon Trail R...  ,ESP ,1976,M
1353,321Sport  ,ROU ,1974,M
1354,,GER ,1991,M
1355,,POL ,1988,F
1356,UA Societe Generale  ,FRA ,1983,M
1356,UA Societe Generale  ,FRA ,1983,M
1358,Kailas Malaysia / Pace...  ,MAS ,1976,M
1359,North York Moors AC  ,GBR ,1973,M
1360,,CHN ,1983,M
1361,,RSA ,1981,M
1362,,JPN ,1986,M
1363,,FRA ,1982,M
1364,Helm Hill  ,GBR ,1971,F
1365,Green Power Sport Taem  ,POL ,1985,M
1366,,GBR ,1974,M
1367,Nakhon SI Trail Running  ,THA ,1981,M
1368,,CHN ,1991,M
1369,Góral Z Mazur Running ...  ,POL ,1986,M
1370,,OMA ,1991,M
1371,,FRA ,1964,M
1372,,FRA ,1995,M
1373,,FRA ,1990,M
1374,Krunners  ,CHI ,1988,M
1375,,FRA ,1981,M
1376,,ISL ,1973,M
1377,Wimbledon Windmilers  ,GBR ,1981,M
1378,,CAN ,1966,M
1379,,BRA ,1975,M
1380,Team Wild  ,FRA ,1963,M
1381,,THA ,1974,M
1382,R7 Run Club  ,KSA ,1985,M
1383,Granville Athletic Club  ,FRA ,1961,M
1384,,AUS ,1989,M
1385,Nbro / Skovshoved Tria...  ,DEN ,1966,M
1386,ŠD Pulz  ,SLO ,1969,M
1387,Club Trail Albacete  ,ESP ,1973,M
1388,A Squadra Mantinum / E...  ,FRA ,1990,F
1389,Cornwall Multisport Club  ,CAN ,1981,M
1390,Nouzilly Athlétisme / ...  ,FRA ,1984,M
1391,Bergamo Stars  ,ITA ,1978,M
1392,CAM Parets  ,ESP ,1968,M
1393,,JPN ,1977,M
1394,,USA ,1962,F
1395,,AUS ,1998,M
1396,,POL ,1980,M
1397,,FRA ,1986,M
1398,,GBR ,1986,M
1399,Tri Team 1.Usc Traun  ,AUT ,1969,F
1400,Midorihprc  ,JPN ,1977,M
1401,S.C. Lombardini  ,ITA ,1972,M
1402,Orthez-Biron  ,FRA ,1980,M
1403,Altraredteamthailand  ,THA ,1985,M
1404,les Taureaux Ailes Cha...  ,FRA ,1978,M
1405,Popolo AC  ,JPN ,1973,F
1406,,ROU ,1978,M
1407,,THA ,1976,F
1408,,FRA ,1986,M
1409,,CHN ,1976,M
1410,Fuji Wind  ,JPN ,1978,M
1411,Gazelec Angers  ,FRA ,1982,M
1411,,HKG ,1969,M
1413,,CAN ,1971,M
1414,,MAS ,1980,M
1415,,FRA ,1987,M
1416,,ESP ,1978,M
1417,Bundang Sparta  ,KOR ,1989,M
1418,Crazy Running Club  ,CHN ,1989,F
1419,CA Barreira  ,POR ,1980,M
1420,Krivbass AC  ,UKR ,1979,M
1421,,FRA ,1987,M
1422,Levallois SC  ,FRA ,1974,M
1423,,NED ,1973,M
1424,Atletica Valle Scrivia  ,ITA ,1984,M
1425,Atletica Vallescrivia  ,ITA ,1974,M
1426,,HKG ,1971,M
1427,Zelkova  ,JPN ,1986,M
